window,frame,budget,slots,scenario,contrast,estimate,ci_low,ci_high,ci90_low,ci90_high,within_five,ci95_half_width,passes_original_precision_gate
two_year,without_2020,5,344,missing_percentile_0,mean minus D2,12.82091563738335,8.289867150563271,16.862801603001824,8.951142951065027,16.290511961314827,False,4.286467226219276,True
two_year,without_2020,5,344,missing_percentile_0,variance minus D2,4.728374648172629,1.670917659424213,8.062025067747294,2.153227982113356,7.440734422786427,False,3.1955537041615405,True
two_year,without_2020,5,344,missing_pool_mean,mean minus lottery,5.228461437454534,2.6525556904086858,7.588671325479021,3.03966656250244,7.1977232682325605,False,2.4680578175351675,True
two_year,without_2020,5,344,missing_pool_mean,max minus lottery,4.393929490917742,1.9593617695518446,6.8431523267032235,2.307134085955797,6.444272103741184,False,2.4418952785756893,True
two_year,without_2020,5,344,missing_pool_mean,variance minus lottery,0.3090036152622275,-1.7907503064062713,3.0525923658368934,-1.4213900338328884,2.658359440609103,True,2.4216713361215825,True
two_year,without_2020,5,344,missing_pool_mean,D2 minus lottery,-1.539407606327579,-3.762543672276601,0.7329918268961723,-3.4114974773038576,0.3770236030530522,True,2.247767749586387,True
two_year,without_2020,5,344,missing_pool_mean,max_resid minus lottery,-0.35198297195452,-2.9851401182480584,1.9242480300018125,-2.568697842813285,1.4938970842143253,True,2.4546940741249355,True
two_year,without_2020,5,344,missing_pool_mean,mean minus D2,6.767869043782113,3.2474308247404,10.033337658185934,3.761231332427347,9.38604320914115,False,3.392953416722767,True
two_year,without_2020,5,344,missing_pool_mean,variance minus D2,1.8484112215898065,-0.3870108730872019,4.610645584501219,0.04566726551768881,4.176015989231851,True,2.4988282287942103,True
two_year,without_2020,5,344,missing_zero_citation_percentile,mean minus lottery,7.523747354632377,4.711518125169081,10.23080586700119,5.107639830742321,9.835564263556856,False,2.759643870916054,True
two_year,without_2020,5,344,missing_zero_citation_percentile,max minus lottery,6.001405727703279,3.3768836836280722,8.993939549020132,3.762614442743165,8.505871087766279,False,2.8085279326960295,True
two_year,without_2020,5,344,missing_zero_citation_percentile,variance minus lottery,0.719281551037632,-1.7068260516484632,3.770644556080106,-1.2588417638714908,3.345808720231129,True,2.7387353038642845,True
two_year,without_2020,5,344,missing_zero_citation_percentile,D2 minus lottery,-2.8002221223503625,-5.178227510629673,-0.21217249139576624,-4.739466502264228,-0.5780852248119253,True,2.4830275096169534,True
two_year,without_2020,5,344,missing_zero_citation_percentile,max_resid minus lottery,0.5089517750095638,-2.3565884925744065,2.868455075880153,-1.9423728080367222,2.4974224248331947,True,2.6125217842272797,True
two_year,without_2020,5,344,missing_zero_citation_percentile,mean minus D2,10.32396947698274,6.482070850888439,13.919992305028295,6.9788403990652865,13.3024407753602,False,3.718960727069928,True
two_year,without_2020,5,344,missing_zero_citation_percentile,variance minus D2,3.5195036733879945,1.0271430954495773,6.426801643901505,1.3912102011884915,5.9529342691527,False,2.699829274225964,True
two_year,without_2020,10,686,observed_only,mean minus lottery,6.630489484597604,4.114783344075486,8.655399756473486,4.462081820055842,8.284708116849966,False,2.2703082061989996,True
two_year,without_2020,10,686,observed_only,max minus lottery,5.607560980070744,3.5930252138129344,8.47257768992136,4.030535852296903,8.064586750301197,False,2.439776238054213,True
two_year,without_2020,10,686,observed_only,variance minus lottery,1.9082838011552568,-0.2628478771177974,4.288338000636513,0.012281581749498125,3.9184575842307274,True,2.275592938877155,True
two_year,without_2020,10,686,observed_only,D2 minus lottery,-1.1163383156323192,-3.5816743280202177,1.0249259737775254,-3.302144686824589,0.6291578341326066,True,2.3033001508988713,True
two_year,without_2020,10,686,observed_only,max_resid minus lottery,-1.2863548659207211,-3.424853699721982,1.2253517590218141,-3.041484599151093,0.8077185326850975,True,2.325102729371898,True
two_year,without_2020,10,686,observed_only,mean minus D2,7.746827800229923,4.351303507163422,11.092085367036892,4.866461129182399,10.622194024339562,False,3.370390929936735,True
two_year,without_2020,10,686,observed_only,variance minus D2,3.024622116787576,0.50742209215011,5.976324671144288,0.9614460513651537,5.519773760997103,False,2.734451289497089,True
two_year,without_2020,10,686,missing_percentile_0,mean minus lottery,9.884331111704192,7.302968100830729,11.974441029194423,7.682248739883042,11.649953981617204,False,2.3357364641818474,True
two_year,without_2020,10,686,missing_percentile_0,max minus lottery,6.396858767187311,4.481062592564058,9.141720863692967,4.8867054460456405,8.751567012894581,False,2.3303291355644546,True
