frame,budget_pct,rule,slots,selected_missing,baseline_difference,target_difference,reachable,delta_at_target,minimum_difference,maximum_difference
two_year,2,variance,140,40,1.1009202837792154,0,True,-3.9069370466759956,-11.284278274019877,16.894324826735843
two_year,2,variance,140,40,1.1009202837792154,5,True,13.837022730612983,-11.284278274019877,16.894324826735843
two_year,2,max,140,37,5.873157037843935,-5,True,-41.77881279550344,-5.590103848735865,20.472847718112913
two_year,2,max,140,37,5.873157037843935,0,True,-22.534504669511023,-5.590103848735865,20.472847718112913
two_year,2,max,140,37,5.873157037843935,5,True,-3.350184784729297,-5.590103848735865,20.472847718112913
two_year,2,max_resid,140,46,1.4270451740753962,-5,True,-19.830604052573626,-12.837286632241238,19.572443081671796
two_year,2,max_resid,140,46,1.4270451740753962,0,True,-4.403138152253046,-12.837286632241238,19.572443081671796
two_year,2,max_resid,140,46,1.4270451740753962,5,True,11.024327748067531,-12.837286632241238,19.572443081671796
two_year,5,D2,344,126,-1.5394076063270772,-5,True,-9.780778060930981,-17.194036351644364,18.187529124175533
two_year,5,D2,344,126,-1.5394076063270772,0,True,4.350874772285369,-17.194036351644364,18.187529124175533
two_year,5,D2,344,126,-1.5394076063270772,5,True,18.482527605501716,-17.194036351644364,18.187529124175533
two_year,5,mean,344,79,5.228461437455028,-5,False,,-4.576591728567643,17.601465628990123
two_year,5,mean,344,79,5.228461437455028,0,True,-23.574929729691995,-4.576591728567643,17.601465628990123
two_year,5,mean,344,79,5.228461437455028,5,True,-1.0301237559798047,-4.576591728567643,17.601465628990123
two_year,5,variance,344,104,0.30900361526272846,-5,True,-18.177836160349308,-12.564485630836835,16.641430675324386
two_year,5,variance,344,104,0.30900361526272846,0,True,-1.058017190844108,-12.564485630836835,16.641430675324386
two_year,5,variance,344,104,0.30900361526272846,5,True,16.061801778661085,-12.564485630836835,16.641430675324386
two_year,5,max,344,88,4.393929490918232,-5,True,-38.02135407957718,-6.499142224274234,18.20784078126816
two_year,5,max,344,88,4.393929490918232,0,True,-17.784160412999697,-6.499142224274234,18.20784078126816
two_year,5,max,344,88,4.393929490918232,5,True,2.4530332535777823,-6.499142224274234,18.20784078126816
two_year,5,max_resid,344,98,-0.35198297195402917,-5,True,-16.889364321557338,-12.470139120726458,15.050239619125287
two_year,5,max_resid,344,98,-0.35198297195402917,0,True,1.2789902903637334,-12.470139120726458,15.050239619125287
two_year,5,max_resid,344,98,-0.35198297195402917,5,True,19.447344902284804,-12.470139120726458,15.050239619125287
two_year,10,D2,686,231,-0.691122347060646,-5,True,-13.72849584294983,-14.615614656970042,16.770763736057962
two_year,10,D2,686,231,-0.691122347060646,0,True,2.2019818228348633,-14.615614656970042,16.770763736057962
two_year,10,D2,686,231,-0.691122347060646,5,True,18.132459488619553,-14.615614656970042,16.770763736057962
two_year,10,mean,686,144,5.053393393754412,-5,False,,-3.592131254244066,15.960825189421291
two_year,10,mean,686,144,5.053393393754412,0,True,-25.844651208188914,-3.592131254244066,15.960825189421291
two_year,10,mean,686,144,5.053393393754412,5,True,-0.2730706934690126,-3.592131254244066,15.960825189421291
two_year,10,variance,686,196,1.3146703631111205,-5,True,-23.70728242592852,-10.48741958403921,16.148574578686084
two_year,10,variance,686,196,1.3146703631111205,0,True,-4.935690986713329,-10.48741958403921,16.148574578686084
two_year,10,variance,686,196,1.3146703631111205,5,True,13.835900452501864,-10.48741958403921,16.148574578686084
two_year,10,max,686,182,3.9842961958708707,-5,True,-36.327292398870384,-6.921795405515771,17.809737286830558
two_year,10,max,686,182,3.9842961958708707,0,True,-16.110187126024307,-6.921795405515771,17.809737286830558
two_year,10,max,686,182,3.9842961958708707,5,True,4.106918146821766,-6.921795405515771,17.809737286830558
two_year,10,max_resid,686,206,-0.9283370147209481,-5,True,-14.546350599458005,-13.328554864688103,14.662403812127799
two_year,10,max_resid,686,206,-0.9283370147209481,0,True,3.316560270191328,-13.328554864688103,14.662403812127799
two_year,10,max_resid,686,206,-0.9283370147209481,5,True,21.17947113984065,-13.328554864688103,14.662403812127799
three_year,1,D2,32,6,1.3573295712330289,-5,True,-34.128887251856085,-6.773127615137717,11.854287701156514
three_year,1,D2,32,6,1.3573295712330289,0,True,-7.286730596733474,-6.773127615137717,11.854287701156514
three_year,1,D2,32,6,1.3573295712330289,5,True,19.55542605838913,-6.773127615137717,11.854287701156514
three_year,1,mean,32,2,16.310746914829608,-5,False,,13.565974973704078,19.770893006490965
three_year,1,mean,32,2,16.310746914829608,0,False,,13.565974973704078,19.770893006490965
three_year,1,mean,32,2,16.310746914829608,5,False,,13.565974973704078,19.770893006490965
three_year,1,variance,32,4,0.2622707950492429,-5,True,-42.38241103705195,-5.175343768698895,7.2408229058416635
three_year,1,variance,32,4,0.2622707950492429,0,True,-2.1123330728720937,-5.175343768698895,7.2408229058416635
three_year,1,variance,32,4,0.2622707950492429,5,True,38.15774489130776,-5.175343768698895,7.2408229058416635
three_year,1,max,32,8,9.433249786504863,-5,False,,-1.3934992380152575,23.428266766597076
three_year,1,max,32,8,9.433249786504863,0,True,-38.00394292957236,-1.3934992380152575,23.428266766597076
three_year,1,max,32,8,9.433249786504863,5,True,-17.860331878404963,-1.3934992380152575,23.428266766597076
three_year,1,max_resid,32,8,-2.3873555429261364,-5,True,-10.522934954445692,-13.162175248943335,11.665921364635786
three_year,1,max_resid,32,8,-2.3873555429261364,0,True,9.615539926731355,-13.162175248943335,11.665921364635786
