frame,budget_pct,rule,comparator,scenario,difference,ci_low,ci_high,replicates,pointwise_exploratory
two_year_through_2023,5,variance,lottery,observed_only,1.9068254489326435,-2.1333887870590447,6.325199757302958,2000,True
two_year_through_2023,5,variance,lottery,missing_percentile_0,1.185249294003917,-2.6135924847113383,5.109990717075401,2000,True
two_year_through_2023,5,variance,lottery,missing_pool_mean,1.3670881571270144,-1.585982816642913,4.583248950597063,2000,True
two_year_through_2023,5,variance,lottery,missing_zero_citation_percentile,1.2444802611294747,-2.092877988606536,4.721716958368646,2000,True
two_year_through_2023,5,variance,mean,observed_only,-6.685799435247041,-12.163319342155274,-0.7041977510258144,2000,True
two_year_through_2023,5,variance,mean,missing_percentile_0,-8.17892569787185,-13.439439445133983,-2.7197668430206616,2000,True
two_year_through_2023,5,variance,mean,missing_pool_mean,-5.437899856915564,-9.546356425736393,-0.9525264264961771,2000,True
two_year_through_2023,5,variance,mean,missing_zero_citation_percentile,-7.157223723382359,-11.71516843927722,-2.1824479131084122,2000,True
two_year_through_2023,5,variance,D2,observed_only,3.9724850822071502,-0.2034800871544526,9.10848770914912,2000,True
two_year_through_2023,5,variance,D2,missing_percentile_0,4.804467711161362,0.8720205240686866,8.88023618156882,2000,True
two_year_through_2023,5,variance,D2,missing_pool_mean,2.7023273367845775,-0.21704900048672374,6.362164842706298,2000,True
two_year_through_2023,5,variance,D2,missing_zero_citation_percentile,3.991708734488874,0.5853787968123167,7.762686765733364,2000,True
two_year_through_2023,10,variance,lottery,observed_only,3.822912355949228,1.1546732513677735,6.773441392473996,2000,True
two_year_through_2023,10,variance,lottery,missing_percentile_0,4.167742743009818,1.4463931749285848,6.8273328026679465,2000,True
two_year_through_2023,10,variance,lottery,missing_pool_mean,2.89567559001744,0.8450077402315233,5.159177087055696,2000,True
two_year_through_2023,10,variance,lottery,missing_zero_citation_percentile,3.7039098627631617,1.3315676192690526,6.125924384737971,2000,True
two_year_through_2023,10,variance,mean,observed_only,-4.295446020118327,-7.890756527758886,-0.3115796815714135,2000,True
two_year_through_2023,10,variance,mean,missing_percentile_0,-5.78961293504365,-9.406535512351342,-1.8171578579781984,2000,True
two_year_through_2023,10,variance,mean,missing_pool_mean,-3.654026024548102,-6.513239861062794,-0.5367836857441612,2000,True
two_year_through_2023,10,variance,mean,missing_zero_citation_percentile,-4.975371450454723,-8.091298074439132,-1.4231591851288148,2000,True
two_year_through_2023,10,variance,D2,observed_only,4.470718414112675,1.7612394015028918,7.9409790513884655,2000,True
two_year_through_2023,10,variance,D2,missing_percentile_0,5.129166135834417,2.347490864989478,8.240259165364947,2000,True
two_year_through_2023,10,variance,D2,missing_pool_mean,3.3299018915604535,1.2632320902539491,5.898163392117966,2000,True
two_year_through_2023,10,variance,D2,missing_zero_citation_percentile,4.451714128383962,2.111520753582355,7.291119872827903,2000,True
two_year_full,1,variance,lottery,observed_only,0.708350769429785,-6.284005634396644,8.901521218653123,2000,True
two_year_full,1,variance,lottery,missing_percentile_0,3.6207816056132422,-3.470354747714589,11.392028486429922,2000,True
two_year_full,1,variance,lottery,missing_pool_mean,0.2827645740398097,-4.896344218135817,6.527880247054584,2000,True
two_year_full,1,variance,lottery,missing_zero_citation_percentile,2.146415689320463,-3.804575178480158,9.054651927321434,2000,True
two_year_full,1,variance,mean,observed_only,-9.980841104142705,-17.500972379221533,1.8762654954079572,2000,True
two_year_full,1,variance,mean,missing_percentile_0,-9.09323415439961,-16.63233376318206,2.814984479460932,2000,True
two_year_full,1,variance,mean,missing_pool_mean,-7.927445506763618,-13.546442501778584,1.2308128285034268,2000,True
two_year_full,1,variance,mean,missing_zero_citation_percentile,-8.659742965058705,-14.83400190310422,1.682142275325191,2000,True
two_year_full,1,variance,D2,observed_only,-3.0573794468239086,-9.857450352539725,8.780139468136664,2000,True
two_year_full,1,variance,D2,missing_percentile_0,5.517538056558898,-1.8371305555274045,15.248938260670696,2000,True
two_year_full,1,variance,D2,missing_pool_mean,-2.1426825070544666,-6.578557240947139,5.571596355827168,2000,True
two_year_full,1,variance,D2,missing_zero_citation_percentile,2.152970673988243,-3.714704644431783,10.663153042345426,2000,True
two_year_full,2,variance,lottery,observed_only,1.7447399654195763,-3.7896004366229037,6.921903845414287,2000,True
two_year_full,2,variance,lottery,missing_percentile_0,2.527660186660924,-2.58187172959684,7.349848024468605,2000,True
two_year_full,2,variance,lottery,missing_pool_mean,1.1009202837787484,-2.8739200771383357,4.8183629024187615,2000,True
two_year_full,2,variance,lottery,missing_zero_citation_percentile,1.8751377565626015,-2.512839877087366,6.04277773922367,2000,True
two_year_full,2,variance,mean,observed_only,-6.525254084895025,-14.994945137365267,-0.5197414365233355,2000,True
two_year_full,2,variance,mean,missing_percentile_0,-7.210925665757358,-15.7176472315818,-1.241137677758724,2000,True
two_year_full,2,variance,mean,missing_pool_mean,-5.074043328826676,-11.462001283977617,-0.6741188424813921,2000,True
two_year_full,2,variance,mean,missing_zero_citation_percentile,-6.342117948579187,-13.75832076694684,-1.3405824212964135,2000,True
two_year_full,2,variance,D2,observed_only,0.2633185315028257,-6.264155213780918,6.92025940691893,2000,True
two_year_full,2,variance,D2,missing_percentile_0,1.4512853853662726,-4.089244261548563,7.616643074526895,2000,True
two_year_full,2,variance,D2,missing_pool_mean,0.10449146506420703,-4.412914428105813,4.633754438797121,2000,True
two_year_full,2,variance,D2,missing_zero_citation_percentile,0.8153424730710483,-4.0563997663156135,5.9830132850713165,2000,True
two_year_full,5,variance,lottery,observed_only,0.5753201001358264,-2.3968407628898167,4.5441713383112425,2000,True
two_year_full,5,variance,lottery,missing_percentile_0,1.0845883397910008,-1.8181719254215456,4.495713661525104,2000,True
two_year_full,5,variance,lottery,missing_pool_mean,0.3090036152622275,-1.7907503064062713,3.0525923658368934,2000,True
two_year_full,5,variance,lottery,missing_zero_citation_percentile,0.719281551037632,-1.7068260516484632,3.770644556080106,2000,True
two_year_full,5,variance,mean,observed_only,-6.4170135314040095,-10.469032724308127,-0.9712588153986663,2000,True
two_year_full,5,variance,mean,missing_percentile_0,-8.092540989210722,-12.235570867922537,-3.371121734708656,2000,True
two_year_full,5,variance,mean,missing_pool_mean,-4.919457822192307,-7.958252448375759,-0.9238525834249774,2000,True
two_year_full,5,variance,mean,missing_zero_citation_percentile,-6.804465803594745,-10.33190204080043,-2.582599914972623,2000,True
two_year_full,5,variance,D2,observed_only,3.088231313031784,-0.2575168976327569,7.284101805220044,2000,True
two_year_full,5,variance,D2,missing_percentile_0,4.728374648172629,1.670917659424213,8.062025067747294,2000,True
two_year_full,5,variance,D2,missing_pool_mean,1.8484112215898065,-0.3870108730872019,4.610645584501219,2000,True
two_year_full,5,variance,D2,missing_zero_citation_percentile,3.5195036733879945,1.0271430954495773,6.426801643901505,2000,True
two_year_full,10,variance,lottery,observed_only,1.9082838011552568,-0.2628478771177974,4.288338000636513,2000,True
two_year_full,10,variance,lottery,missing_percentile_0,2.7674186883244616,0.5515924097117607,4.8203595099616745,2000,True
two_year_full,10,variance,lottery,missing_pool_mean,1.3146703631106078,-0.2598943924458947,2.9831422491742607,2000,True
two_year_full,10,variance,lottery,missing_zero_citation_percentile,2.185549029987399,0.32092307578563894,3.9713920063705643,2000,True
two_year_full,10,variance,mean,observed_only,-4.722205683442347,-7.590147086633015,-1.179046420071207,2000,True
two_year_full,10,variance,mean,missing_percentile_0,-7.1169124233797305,-10.041072542858581,-3.738780379640251,2000,True
two_year_full,10,variance,mean,missing_pool_mean,-3.7387230306432926,-5.886973247145168,-1.063899662947243,2000,True
two_year_full,10,variance,mean,missing_zero_citation_percentile,-5.692356403536678,-8.129710776390978,-2.6916289436096226,2000,True
two_year_full,10,variance,D2,observed_only,3.024622116787576,0.50742209215011,5.976324671144288,2000,True
two_year_full,10,variance,D2,missing_percentile_0,4.2851363745694115,2.1187144841743843,6.918904930351428,2000,True
two_year_full,10,variance,D2,missing_pool_mean,2.0057927101717823,0.25263357008432513,4.024684439676773,2000,True
two_year_full,10,variance,D2,missing_zero_citation_percentile,3.3464764227171457,1.5151086989865312,5.496219672860051,2000,True
