id,frame,budget,rule,estimate,ci_low,ci_high,note
yield_two_year_through_2024_max_resid_missing_pool_mean_b1,2017-2024 ex2020 2yr,1%,max_resid,-0.270749,-4.743069,6.221632,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_resid_missing_pool_mean_b1_coverage,2017-2024 ex2020 2yr,1%,max_resid,63.380282,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_resid_missing_pool_mean_b1_slots,2017-2024 ex2020 2yr,1%,max_resid,71.000000,,,award slots at this budget
yield_two_year_through_2024_max_resid_missing_zero_citation_percentile_b1,2017-2024 ex2020 2yr,1%,max_resid,-1.720678,-6.481618,5.783973,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_resid_missing_zero_citation_percentile_b1_coverage,2017-2024 ex2020 2yr,1%,max_resid,63.380282,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_resid_missing_zero_citation_percentile_b1_slots,2017-2024 ex2020 2yr,1%,max_resid,71.000000,,,award slots at this budget
yield_two_year_through_2024_lottery_observed_only_b1,2017-2024 ex2020 2yr,1%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_lottery_observed_only_b1_coverage,2017-2024 ex2020 2yr,1%,lottery,68.827945,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_lottery_observed_only_b1_slots,2017-2024 ex2020 2yr,1%,lottery,71.000000,,,award slots at this budget
yield_two_year_through_2024_lottery_missing_percentile_0_b1,2017-2024 ex2020 2yr,1%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_lottery_missing_percentile_0_b1_coverage,2017-2024 ex2020 2yr,1%,lottery,68.827945,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_lottery_missing_percentile_0_b1_slots,2017-2024 ex2020 2yr,1%,lottery,71.000000,,,award slots at this budget
yield_two_year_through_2024_lottery_missing_pool_mean_b1,2017-2024 ex2020 2yr,1%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_lottery_missing_pool_mean_b1_coverage,2017-2024 ex2020 2yr,1%,lottery,68.827945,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_lottery_missing_pool_mean_b1_slots,2017-2024 ex2020 2yr,1%,lottery,71.000000,,,award slots at this budget
yield_two_year_through_2024_lottery_missing_zero_citation_percentile_b1,2017-2024 ex2020 2yr,1%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_lottery_missing_zero_citation_percentile_b1_coverage,2017-2024 ex2020 2yr,1%,lottery,68.827945,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_lottery_missing_zero_citation_percentile_b1_slots,2017-2024 ex2020 2yr,1%,lottery,71.000000,,,award slots at this budget
