budget_pct,rule,comparator,scenario,difference,ci_low,ci_high
5,mean,D2,missing_zero_citation_percentile,10.32396947698274,6.482070850888439,13.919992305028297
5,variance,mean,observed_only,-6.4170135314040095,-10.469032724308128,-0.9712588153986664
5,variance,mean,missing_percentile_0,-8.092540989210722,-12.235570867922537,-3.371121734708656
5,variance,mean,missing_pool_mean,-4.919457822192314,-7.958252448375759,-0.9238525834249774
5,variance,mean,missing_zero_citation_percentile,-6.804465803594745,-10.33190204080043,-2.582599914972623
5,variance,D2,observed_only,3.088231313031784,-0.2575168976327569,7.284101805220044
5,variance,D2,missing_percentile_0,4.7283746481726325,1.670917659424213,8.062025067747294
5,variance,D2,missing_pool_mean,1.8484112215897992,-0.3870108730872019,4.610645584501219
5,variance,D2,missing_zero_citation_percentile,3.5195036733879945,1.0271430954495773,6.426801643901505
5,max,D2,observed_only,8.62024788400629,4.013617251979824,12.924501478539865
5,max,D2,missing_percentile_0,10.860713518602832,6.985461146180933,14.777821807880992
5,max,D2,missing_pool_mean,5.933337097245321,2.797741731253239,9.01817159066601
5,max,D2,missing_zero_citation_percentile,8.801627850053642,5.335856285499485,12.16699388138781
5,max_resid,D2,observed_only,2.199950814910352,-1.3975493857503165,5.207154387041848
5,max_resid,D2,missing_percentile_0,4.848959302050741,1.64375974658876,7.110711245396552
5,max_resid,D2,missing_pool_mean,1.187424634373059,-1.2149952995684177,3.1914533105679106
5,max_resid,D2,missing_zero_citation_percentile,3.3091738973599263,0.6569345228623068,5.273650088600876
10,mean,D2,observed_only,7.74682780022993,4.351303507163422,11.092085367036892
10,mean,D2,missing_percentile_0,11.40204879794914,8.131003254973967,14.554296995513004
10,mean,D2,missing_pool_mean,5.744515740815082,3.23160755471596,8.168946242140883
10,mean,D2,missing_zero_citation_percentile,9.038832826253824,6.204570701249697,11.709658015227053
10,variance,mean,observed_only,-4.722205683442347,-7.590147086633015,-1.179046420071207
10,variance,mean,missing_percentile_0,-7.1169124233797305,-10.04107254285858,-3.738780379640251
10,variance,mean,missing_pool_mean,-3.7387230306432926,-5.886973247145168,-1.063899662947243
10,variance,mean,missing_zero_citation_percentile,-5.692356403536678,-8.129710776390978,-2.6916289436096226
10,variance,D2,observed_only,3.024622116787583,0.50742209215011,5.976324671144288
10,variance,D2,missing_percentile_0,4.285136374569408,2.1187144841743843,6.918904930351428
10,variance,D2,missing_pool_mean,2.0057927101717894,0.2526335700843251,4.024684439676773
10,variance,D2,missing_zero_citation_percentile,3.3464764227171457,1.5151086989865312,5.496219672860051
10,max,D2,observed_only,6.72389929570307,4.342303584600705,10.236255053592156
10,max,D2,missing_percentile_0,7.914576453432257,5.975470704903409,11.32328784080202
10,max,D2,missing_pool_mean,4.675418542931546,3.021350363143005,7.1732563994948215
10,max,D2,missing_zero_citation_percentile,6.529728202857768,4.81755273159863,9.448509972604668
10,max_resid,D2,observed_only,-0.1700165502883948,-1.7827951633471364,2.386517853396071
10,max_resid,D2,missing_percentile_0,1.3986751290450847,-0.0216975250670369,3.641315951241595
10,max_resid,D2,missing_pool_mean,-0.2372146676602895,-1.3353225204176014,1.5292705643241546
10,max_resid,D2,missing_zero_citation_percentile,0.7154035455961179,-0.4631300543564707,2.637192705740393
