budget_pct,slots,rule,scenario,resolved_selected,coverage,mean_percentile,ci_low,ci_high,difference_lottery,difference_ci_low,difference_ci_high
2,62,lottery,missing_pool_mean,52.25757362860362,0.8428640907839294,41.49690802731786,40.84974034745975,42.13691206309565,0.0,0.0,0.0
2,62,lottery,missing_zero_citation_percentile,52.25757362860362,0.8428640907839294,36.749508182678184,36.15891468455871,37.33557063511004,0.0,0.0,0.0
5,151,D2,observed_only,116.0,0.7682119205298014,37.6553869109419,32.727610592272356,42.616695007899914,-3.4462142093443546,-8.319586808353707,1.440499030386077
5,151,D2,missing_percentile_0,116.0,0.7682119205298014,28.92731709714742,24.700337823318954,33.86782360645761,-5.575490692021763,-9.824577778877694,-0.7975585810797718
5,151,D2,missing_pool_mean,116.0,0.7682119205298014,39.026468296588796,35.11550351024229,42.859886157228246,-2.4972263331043436,-6.372111934930426,1.2191683246600697
5,151,D2,missing_zero_citation_percentile,116.0,0.7682119205298014,32.072675865027605,28.104310636733643,36.576811926813136,-4.597629368138293,-8.48132674106404,-0.18901961852352706
5,151,mean,observed_only,131.0,0.8675496688741722,53.44691077851927,48.4437700850875,57.62628171301562,12.345309658233013,7.27495080444607,16.54736593120366
5,151,mean,missing_percentile_0,131.0,0.8675496688741722,46.367849748251814,41.14024814083462,50.5729884552244,11.865041959082632,6.595966379667783,16.007761189928335
5,151,mean,missing_pool_mean,131.0,0.8675496688741722,52.16145877801222,47.828193048955455,55.750681771053294,10.637764148319079,6.203256160631151,14.228665390924332
5,151,mean,missing_zero_citation_percentile,131.0,0.8675496688741722,48.142098868805846,43.23865301039951,52.1026697900658,11.471793635639948,6.58047700724786,15.430097028602464
5,151,variance,observed_only,126.0,0.8344370860927153,42.539593423848125,38.034211134340595,48.031487300257915,1.4379923035618702,-3.0569077378180243,6.936969739349147
5,151,variance,missing_percentile_0,126.0,0.8344370860927153,35.49661438016466,31.02124187328312,40.77465019582748,0.9938065909954759,-3.39022845209164,6.2321718224812646
5,151,variance,missing_pool_mean,126.0,0.8344370860927153,42.66626715153676,38.88861325021033,47.34021682256176,1.1425725218436185,-2.6485098132396403,5.690013604138789
5,151,variance,missing_zero_citation_percentile,126.0,0.8344370860927153,37.74436876395606,33.65917347521458,42.66280054134003,1.0740635307901627,-2.9539922320859873,5.95048228208739
5,151,max,observed_only,126.0,0.8344370860927153,51.220787365638635,46.53588319543308,56.61906270059173,10.119186245352381,5.455359019134445,15.464447927366498
